// Episode 20 monster skills (rAthena 19-column format).
// Secondary source checked 2026-09-05:
// https://rockragnarok.com/edda/?module=monster
// Divine Pride and RagnaPlace currently expose no kROM skill rows for these
// monsters, so every row below is deliberately limited to skills implemented
// by this fork's db/re/skill_db.yml. Exact duplicate rows in the source were
// collapsed. See the compatibility notes at the end of this file.
// MobID,Dummy,State,SkillID,SkillLv,Rate,CastTime,Delay,Cancelable,Target,Condition type,Condition value,val1,val2,val3,val4,val5,Emotion,Chat

// Copo
21965,EP20_COPO@MG_COLDBOLT,attack,14,5,1500,500,5000,no,target,always,0,,,,,,,
21965,EP20_COPO@MG_COLDBOLT,chase,14,5,1500,500,5000,no,target,always,0,,,,,,,
21965,EP20_COPO@AL_TELEPORT,idle,26,1,2000,0,10000,no,self,always,0,,,,,,,
21965,EP20_COPO@NPC_GROUNDATTACK,attack,185,1,2000,500,10000,no,target,always,0,,,,,,,
21965,EP20_COPO@SM_BASH,attack,5,1,2000,0,10000,no,target,always,0,,,,,,,

// Grey Icewind
21966,EP20_ICEWIND1@AL_TELEPORT,idle,26,1,1000,0,10000,no,self,always,0,,,,,,,
21966,EP20_ICEWIND1@MG_LIGHTNINGBOLT,attack,20,5,2000,500,10000,no,target,always,0,,,,,,,
21966,EP20_ICEWIND1@MG_THUNDERSTORM,attack,21,4,2000,1000,10000,no,target,always,0,,,,,,,
21966,EP20_ICEWIND1@MG_COLDBOLT,attack,14,5,2000,500,10000,no,target,always,0,,,,,,,
21966,EP20_ICEWIND1@NPC_DARKTHUNDER,attack,341,4,2000,500,10000,no,target,always,0,,,,,,,

// Icewind
21967,EP20_ICEWIND2@AL_TELEPORT,idle,26,1,1000,0,10000,no,self,always,0,,,,,,,
21967,EP20_ICEWIND2@WZ_JUPITEL,chase,84,5,8000,500,10000,no,target,always,0,,,,,,,
21967,EP20_ICEWIND2@AL_HEAL,attack,28,10,2000,500,5000,no,self,myhpltmaxrate,50,,,,,,,
21967,EP20_ICEWIND2@MG_THUNDERSTORM,attack,21,4,2000,1000,5000,no,target,always,0,,,,,,,
21967,EP20_ICEWIND2@NPC_WINDATTACK,attack,187,1,2000,0,10000,no,target,always,0,,,,,,,
21967,EP20_ICEWIND2@MG_LIGHTNINGBOLT,attack,20,6,2000,500,5000,no,target,always,0,,,,,,,
21967,EP20_ICEWIND2@SM_MAGNUM,attack,7,1,2000,500,10000,no,self,always,0,,,,,,,
21967,EP20_ICEWIND2@NPC_PULSESTRIKE,attack,661,1,2000,0,10000,no,self,always,0,,,,,,,

// Copo Egg
21968,EP20_EGGCOPO@AL_TELEPORT,idle,26,1,800,0,10000,no,self,always,0,,,,,,,
21968,EP20_EGGCOPO@TF_THROWSTONE,attack,152,1,2000,0,10000,no,target,always,0,,,,,,,
21968,EP20_EGGCOPO@WZ_JUPITEL,attack,84,4,500,1500,10000,no,target,always,0,,,,,,,

// Snow Rabbit Iceslug
21969,EP20_RABBIT_ICESLUG@MG_COLDBOLT,chase,14,3,2000,1000,10000,no,target,always,0,,,,,,,
21969,EP20_RABBIT_ICESLUG@MG_FROSTDIVER,attack,15,5,9000,500,50000,no,target,always,0,,,,,,,
21969,EP20_RABBIT_ICESLUG@NPC_WATERATTACK,attack,184,1,2000,0,10000,no,target,always,0,,,,,,,
21969,EP20_RABBIT_ICESLUG@NPC_STUNATTACK,attack,179,1,2000,1000,10000,no,target,always,0,,,,,,,

// Melibe Iceslug
