// Generated by tools/generate_rune_tablet_data.py; edit catalog.json then regenerate.
// All probabilities use denominator 100000. Getters clear their output arrays.

function	script	PN_RT_ListSets	{
	deletearray @RT_SetIds[0],getarraysize(@RT_SetIds);
	deletearray @RT_SetNames$[0],getarraysize(@RT_SetNames$);
	deletearray @RT_SetTags[0],getarraysize(@RT_SetTags);
	setarray @RT_SetIds[0],1260008,1260009,1260010,1260011,1260012,1260000,1260001,1260002,1260003,1260004,1260005,1260006,1260007,1260014,1260015,1260016,1260017,1260018,1260019,1260020,1260021,1260022,1260023,1260024,1260025,1260026,1260027,1260028,1260029,1260030,1260031,1260032,1260039,1260040,1260041,1260042,1260043,1260037,1260038,1260044,1260053,1260054,1260055,1260056,1260057,1260048,1260049,1260050,1260051,1260052,1260047,1260045,1260046,1260035,1260036,1260013,1260034;
	setarray @RT_SetNames$[0],"Greenhouse Administration Set","Malfunction Set","Wing Set","Toxic Symptom Set","Strongest Set","Doubtful Components Set","Automatic Armor Set","Secret Facility Set","Mutant Set","Secret Set","Spell Addict Set","Bath Administration Set","Garden Administration Set","Gray Wolf Set","False Warrior Set","False Magician Set","False Shooter Set","Ashy Forest Set","Lava Zone Set","Grey Wilderness Set","Burning Fang Set","Demigod Set","Snowflower Armor Set","Glacier Weapon Set","Ultra Limacina Set","Fusion Set","Snowfield Set","Family Set","Irritation Set","Basement Set","Rgan Set","Labre Collector Set","Predator Set","Guardian Set","Angel Snail Set","Glacial Daily Life Set","Discharge Set","Glacier Set","Sanctuary Cleanup Set","Roots Set","Purification Set","Civil Support Set","Company Set","Frozen Horn Set","Encroachment Set","Gaebolg Set","Icy Coast Set","Yosker Yorker Set","Working Staff Set","Administration Set","Chaos Set","Twisted Magic Gear Set","Dimensional Steps Set","Fiery Passion Set","Fiery Vigor Set","21st Anniversary Set","22nd Anniversary Set";
	setarray @RT_SetTags[0],17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,22,22,22,500,500,500,500;
	return 57;
}

function	script	PN_RT_LoadSet	{
	deletearray @RT_PieceIds[0],getarraysize(@RT_PieceIds);
	deletearray @RT_Base[0],getarraysize(@RT_Base);
	deletearray @RT_PityStep[0],getarraysize(@RT_PityStep);
	@RT_Name$ = ""; @RT_Description$ = ""; @RT_PieceCount = 0; @RT_MaxLevel = 0;
	switch (getarg(0)) {
	case 1260008:
	@RT_Name$ = "Greenhouse Administration Set";
	@RT_Description$ = "2 pieces: Every 5 enhancement level: Increases physical and magical damage against Formless and Demi-Human race by 1% 3 pieces: Increases physical and magical damage against formless race by 2%; Increases physical and magical damage against Demi-Human race by 3% 5 pieces: Atk + 7%, Matk + 7%";
	setarray @RT_PieceIds[0],1263026,1263027,1263022,1263024,1263029;
	setarray @RT_Base[0],10000,10000,10000,9000,9000,8000,7000,6000,5000,4000,3000,2000,1000,500,100;
	setarray @RT_PityStep[0],4000,4000,4000,3600,3600,3200,2800,2400,2000,1600,1200,800,400,200,40;
	@RT_PieceCount = 5; @RT_MaxLevel = 15; return 1;
	case 1260009:
	@RT_Name$ = "Malfunction Set";
	@RT_Description$ = "2 pieces: Every 3 enhancement level: Increases physical damage against large size enemies by 1% 3 pieces: Increases long ranged physical damage by 2% 4 pieces: Increases long ranged physical damage by additional 5%";
	setarray @RT_PieceIds[0],1263028,1263027,1263020,1263017;
	setarray @RT_Base[0],10000,10000,10000,9000,9000,8000,7000,6000,5000,4000,3000,2000,1000,500,100;
	setarray @RT_PityStep[0],4000,4000,4000,3600,3600,3200,2800,2400,2000,1600,1200,800,400,200,40;
	@RT_PieceCount = 4; @RT_MaxLevel = 15; return 1;
	case 1260010:
	@RT_Name$ = "Wing Set";
	@RT_Description$ = "2 pieces: Every 3 enhancement level: Atk + 3, Matk + 3; Every 5 enhancement level: MaxHP + 1%, MaxSP + 1% 4 pieces: Additional MaxHP + 1%, MaxSP + 1%, Atk + 15, Matk + 15 5 pieces: Additional MaxHP + 3%, MaxSP + 3%, Atk + 45, Matk + 45";
	setarray @RT_PieceIds[0],1263026,1263018,1263025,1263007,1263019;
	setarray @RT_Base[0],10000,10000,10000,9000,9000,8000,7000,6000,5000,4000,3000,2000,1000,500,100;
	setarray @RT_PityStep[0],4000,4000,4000,3600,3600,3200,2800,2400,2000,1600,1200,800,400,200,40;
	@RT_PieceCount = 5; @RT_MaxLevel = 15; return 1;
	case 1260011:
	@RT_Name$ = "Toxic Symptom Set";
	@RT_Description$ = "2 pieces: Every 5 enhancement level: Increases physical and magical damage against shadow property enemies by 1% 4 pieces: Increases physical and magical damage against shadow property enemies by additional 3% 5 pieces: If enhancement level is 15: When dealing physical damage, has a 2% chance to restore 2% of damage as HP";
	setarray @RT_PieceIds[0],1263006,1263014,1263008,1263011,1263016;
	setarray @RT_Base[0],10000,10000,10000,9000,9000,8000,7000,6000,5000,4000,3000,2000,1000,500,100;
	setarray @RT_PityStep[0],4000,4000,4000,3600,3600,3200,2800,2400,2000,1600,1200,800,400,200,40;
	@RT_PieceCount = 5; @RT_MaxLevel = 15; return 1;
	case 1260012:
	@RT_Name$ = "Strongest Set";
	@RT_Description$ = "2 pieces: Every 3 enhancement level: Increases physical and magical damage against Demi-Human race by 1% 4 pieces: Increases physical and magical damage against Demi-Human race by additional 2% 6 pieces: If enhancement level is 15: When dealing physical damage, has a 1% chance to restore 1% of damage as SP";
	setarray @RT_PieceIds[0],1263012,1263030,1263009,1263013,1263028,1263029;
	setarray @RT_Base[0],8000,8000,8000,7000,7000,6000,5000,4000,3000,2000,1000,500,500,250,50;
	setarray @RT_PityStep[0],3000,3000,3000,2500,2500,2000,1500,1000,900,800,600,500,300,100,20;
	@RT_PieceCount = 6; @RT_MaxLevel = 15; return 1;
	case 1260000:
	@RT_Name$ = "Doubtful Components Set";
	@RT_Description$ = "2 pieces: Every 3 enhancement level: Atk + 2, Matk + 2 4 pieces: Increases physical and magical damage against all size enemies by 1%, Atk + 10, Matk + 10";
	setarray @RT_PieceIds[0],1263000,1263001,1263002,1263003;
	setarray @RT_Base[0],10000,10000,10000,9000,9000,8000,7000,6000,5000,4000,3000,2000,1000,500,100;
	setarray @RT_PityStep[0],4000,4000,4000,3600,3600,3200,2800,2400,2000,1600,1200,800,400,200,40;
	@RT_PieceCount = 4; @RT_MaxLevel = 15; return 1;
	case 1260001:
	@RT_Name$ = "Automatic Armor Set";
	@RT_Description$ = "2 pieces: Def + 100, Mdef + 25, every 3 enhancement level: MaxHP + 1%";
	setarray @RT_PieceIds[0],1263004,1263005;
